donor_id,first_name,last_name,gender,age,blood_group,district,phone,weight,hemoglobin,days_since_last_donation,eligible_to_donate,availability
D0088,Tharushi,Perera,Male,24,AB+,Kalutara,711646234,75.9,13.7,326,Yes,Unavailable
D0089,Supun,Bandara,Female,21,O-,Negombo,743887075,53.8,15.0,174,Yes,Available
D0090,Nipun,Silva,Male,54,O+,Negombo,794482772,63.8,14.8,37,No,Unavailable
D0091,Nimal,Fernando,Male,53,AB+,Gampaha,765857931,67.9,13.7,127,Yes,Available
D0092,Dinithi,Peris,Male,55,O+,Negombo,767556566,65.1,15.8,226,Yes,Unavailable
D0093,Dilshan,Peris,Male,34,A-,Kandy,798641164,64.1,12.7,320,No,Available
D0094,Saman,Fernando,Male,28,B+,Anuradhapura,710359129,78.5,15.1,38,No,Unavailable
D0095,Sanduni,Gunasekara,Female,36,AB+,Colombo,770939053,54.9,14.8,118,Yes,Unavailable
D0096,Saman,Jayasinghe,Female,52,B-,Kurunegala,740173413,46.3,13.5,58,No,Unavailable
D0097,Kamal,Bandara,Male,37,A-,Colombo,789865458,79.0,14.7,84,No,Unavailable
D0098,Supun,Bandara,Female,43,A-,Negombo,746540265,60.1,12.6,352,Yes,Unavailable
D0099,Hiruni,De Silva,Female,45,O-,Gampaha,753261270,58.0,11.7,306,No,Available
D0100,Dinithi,Bandara,Male,35,A-,Kandy,787342561,76.3,13.9,345,Yes,Available
D0101,Nimal,Fernando,Female,58,O-,Galle,775998319,46.7,14.0,92,No,Unavailable
D0102,Saman,Gunasekara,Female,28,O+,Matara,754265498,54.6,15.3,164,Yes,Available
D0103,Sanduni,Gunasekara,Female,47,O+,Anuradhapura,721819185,55.3,11.0,18,No,Unavailable
D0104,Ayesha,Bandara,Female,60,A-,Kurunegala,782825679,51.6,13.5,263,Yes,Available
D0105,Chathura,Ranasinghe,Male,58,B-,Anuradhapura,769329732,69.8,12.0,185,No,Unavailable
D0106,Nimal,Jayasinghe,Female,25,B+,Galle,713874790,61.2,12.2,224,No,Unavailable
D0107,Dinithi,Jayasinghe,Male,53,AB+,Anuradhapura,764759583,82.8,12.4,7,No,Unavailable
D0108,Saman,Jayasinghe,Male,49,O-,Gampaha,749172995,64.1,16.7,331,Yes,Available
D0109,Hiruni,Bandara,Female,53,O-,Negombo,729413516,60.1,12.9,124,Yes,Unavailable
D0110,Ishara,Jayasinghe,Male,50,A-,Galle,745859307,68.0,16.6,212,Yes,Unavailable
D0111,Kasun,Bandara,Female,40,O-,Kalutara,754619335,42.6,13.2,228,No,Unavailable
D0112,Malsha,De Silva,Female,54,O-,Matara,761401477,57.8,12.7,96,Yes,Available
D0113,Nadeesha,Ranasinghe,Male,42,AB-,Negombo,799078806,78.3,13.4,361,Yes,Unavailable
D0114,Kamal,Gunasekara,Male,24,B+,Anuradhapura,769096899,78.1,14.8,302,Yes,Unavailable
D0115,Amal,De Silva,Female,22,A+,Kalutara,773013961,56.5,12.1,209,No,Available
D0116,Tharushi,Wijesinghe,Female,38,A-,Matara,794127561,60.4,13.8,345,Yes,Unavailable
D0117,Nipun,De Silva,Male,32,A-,Kandy,722130508,76.8,14.4,323,Yes,Unavailable
D0118,Sanduni,Silva,Male,19,O-,Kalutara,716172803,66.9,14.4,355,Yes,Unavailable
D0119,Ayesha,Perera,Female,33,AB-,Matara,781291936,67.1,12.9,220,Yes,Available
D0120,Sanduni,Peris,Male,57,B+,Kalutara,761344226,68.7,14.1,40,No,Unavailable
D0121,Dinithi,Jayasinghe,Female,47,B+,Kandy,744269370,64.3,10.6,236,No,Unavailable
D0122,Kasun,Gunasekara,Female,55,B+,Gampaha,750151803,50.7,13.5,226,Yes,Unavailable
D0123,Sanduni,Bandara,Female,24,AB+,Kandy,741837210,69.2,11.9,196,No,Unavailable
D0124,Ishara,Peris,Female,60,AB+,Galle,763124147,46.8,13.5,11,No,Unavailable
D0125,Tharushi,Perera,Male,32,O-,Galle,795445405,59.9,14.4,117,Yes,Unavailable
D0126,Anjali,Peris,Female,37,B+,Gampaha,769166287,75.5,10.5,321,No,Available
D0127,Nimal,Peris,Female,44,B+,Gampaha,733574011,50.1,10.7,151,No,Unavailable
D0128,Anjali,Fernando,Female,36,AB+,Kalutara,755461591,53.5,12.9,131,Yes,Unavailable
D0129,Amal,Gunasekara,Male,53,B+,Kandy,759093496,76.2,13.4,346,Yes,Unavailable
D0130,Saman,Ranasinghe,Male,47,AB+,Anuradhapura,759470729,76.3,13.1,63,No,Unavailable
D0131,Tharushi,Peris,Female,48,AB-,Gampaha,713358751,45.6,13.6,345,No,Available
D0132,Dinithi,De Silva,Female,37,B-,Gampaha,797139443,58.5,10.6,325,No,Unavailable
D0133,Sanduni,Silva,Male,25,A+,Colombo,723044889,70.8,14.8,155,Yes,Unavailable
D0134,Nadeesha,De Silva,Male,55,O+,Negombo,730739712,63.2,11.8,189,No,Unavailable
D0135,Sanduni,Silva,Female,41,O+,Galle,739161443,50.6,12.0,16,No,Unavailable
D0136,Chathura,Gunasekara,Male,52,AB-,Gampaha,796547189,68.5,14.9,351,Yes,Unavailable
D0137,Ruwan,Perera,Female,47,AB+,Kandy,722304198,51.7,11.7,62,No,Unavailable
D0138,Anjali,Peris,Male,54,A+,Matara,737542226,66.8,15.6,124,Yes,Available
D0139,Saman,De Silva,Male,56,B-,Kandy,710380581,74.1,16.5,168,Yes,Available
D0140,Tharushi,Fernando,Male,60,AB+,Kalutara,713460153,64.4,15.6,56,No,Unavailable
D0141,Kamal,Perera,Female,29,B-,Jaffna,745617024,59.8,13.9,165,Yes,Available
D0142,Nimal,Fernando,Female,41,A-,Gampaha,778885632,68.5,11.3,243,No,Unavailable
D0143,Supun,Silva,Female,60,B-,Jaffna,779987997,45.1,13.5,22,No,Unavailable
D0144,Dilshan,Gunasekara,Male,24,A+,Negombo,775802771,64.9,14.2,205,Yes,Unavailable
D0145,Chathura,Silva,Male,22,AB-,Jaffna,726937148,65.3,14.9,75,No,Unavailable
D0146,Tharushi,Peris,Female,47,O+,Jaffna,777853916,64.3,11.8,271,No,Unavailable
D0147,Dinithi,Ranasinghe,Male,46,A-,Anuradhapura,740667888,55.5,14.5,110,Yes,Unavailable
D0148,Sanduni,Wijesinghe,Female,38,O+,Kurunegala,767279295,47.4,12.5,48,No,Unavailable
D0149,Ayesha,Bandara,Female,23,B+,Negombo,721457410,62.2,13.3,34,No,Unavailable
D0150,Saman,Ranasinghe,Male,55,AB-,Kalutara,785374852,67.9,12.2,284,No,Available
D0151,Malsha,Wijesinghe,Male,21,O+,Matara,748604965,73.1,12.9,340,No,Unavailable
D0152,Dinithi,Bandara,Female,27,A-,Jaffna,798145654,60.8,12.6,259,Yes,Available
D0153,Nipun,Jayasinghe,Male,35,AB-,Anuradhapura,787054398,78.6,12.8,188,No,Available
D0154,Nadeesha,Ranasinghe,Male,37,AB+,Colombo,755610493,68.4,15.7,92,Yes,Unavailable
D0155,Ruwan,Perera,Male,22,B+,Jaffna,729042093,69.8,12.9,336,No,Unavailable
D0156,Kasun,Silva,Male,28,O+,Kurunegala,759667685,60.0,17.5,232,Yes,Unavailable
D0157,Dilshan,Wijesinghe,Male,57,A+,Kalutara,716679008,69.8,14.9,80,No,Unavailable
D0158,Saman,Bandara,Female,44,O+,Negombo,746663833,61.8,12.2,310,No,Unavailable
D0159,Anjali,De Silva,Male,36,AB-,Kurunegala,789609131,73.2,13.0,56,No,Unavailable
D0160,Nipun,De Silva,Female,18,A+,Kandy,737437207,63.3,12.3,202,No,Available
D0161,Dilshan,Jayasinghe,Male,18,AB+,Galle,776757928,75.2,13.4,167,Yes,Available
D0162,Sanduni,Fernando,Male,50,O+,Anuradhapura,784990607,85.3,14.4,360,Yes,Available
D0163,Ruwan,Silva,Female,47,A+,Kurunegala,720450542,67.3,13.9,9,No,Unavailable
D0164,Ayesha,Peris,Female,43,O+,Kurunegala,712799319,51.4,12.4,148,No,Available
D0165,Ayesha,Fernando,Female,33,AB-,Gampaha,768475513,65.7,14.4,223,Yes,Available
D0166,Supun,Ranasinghe,Male,39,O+,Galle,732566390,66.0,13.2,173,Yes,Available
D0167,Saman,De Silva,Male,33,B-,Matara,723798190,72.2,14.2,179,Yes,Available
D0168,Kamal,Bandara,Male,59,B+,Jaffna,720113745,70.1,16.7,78,No,Unavailable
D0169,Sithumini,Gunasekara,Female,58,O-,Jaffna,752431444,56.0,10.4,329,No,Unavailable
D0170,Kamal,Gunasekara,Male,35,O-,Negombo,789379016,62.3,16.7,323,Yes,Unavailable
D0171,Nimal,Wijesinghe,Male,21,AB+,Negombo,759491122,70.2,15.2,231,Yes,Available
D0172,Dilshan,Silva,Male,46,O+,Negombo,786726461,75.0,13.4,297,Yes,Available
D0173,Anjali,Wijesinghe,Female,39,B+,Colombo,721318464,57.4,13.2,230,Yes,Available
D0174,Hiruni,Fernando,Male,41,B-,Negombo,760043345,79.6,15.6,224,Yes,Available
D0175,Dilshan,Ranasinghe,Female,58,AB-,Jaffna,796879854,60.2,13.9,26,No,Unavailable
D0176,Ayesha,Silva,Female,36,A-,Anuradhapura,743822301,64.6,9.9,347,No,Unavailable
D0177,Dinithi,Fernando,Female,40,A-,Jaffna,751638598,58.1,13.1,339,Yes,Available
D0178,Ishara,Fernando,Male,26,AB+,Anuradhapura,799941500,71.8,13.9,192,Yes,Unavailable
D0179,Hiruni,Silva,Female,29,AB-,Colombo,738748452,55.9,10.9,185,No,Unavailable
D0180,Ayesha,Gunasekara,Male,22,B-,Kalutara,749700543,61.9,15.1,79,No,Unavailable
D0181,Amal,De Silva,Male,56,AB-,Jaffna,760562485,61.6,14.4,67,No,Unavailable
D0182,Kamal,Fernando,Male,44,B+,Negombo,758895439,64.0,12.3,22,No,Unavailable
D0183,Nadeesha,Gunasekara,Female,37,O-,Kandy,772950208,49.4,13.6,273,No,Available
D0184,Anjali,Wijesinghe,Female,28,O-,Galle,736802975,61.9,15.8,195,Yes,Unavailable
D0185,Dinithi,Fernando,Female,51,A+,Negombo,726733967,56.2,13.0,190,Yes,Available
D0186,Dilshan,Silva,Male,45,AB+,Negombo,722309586,71.5,15.7,262,Yes,Available
D0187,Nadeesha,Gunasekara,Female,43,A+,Kurunegala,777378254,61.8,12.2,27,No,Unavailable
D0188,Ruwan,Jayasinghe,Female,38,A-,Matara,723298711,57.4,11.7,114,No,Available
D0189,Ayesha,Fernando,Male,48,A+,Galle,770210270,79.5,14.1,241,Yes,Available
D0190,Dinithi,Perera,Male,53,A+,Galle,791722503,64.2,11.9,110,No,Available
D0191,Hiruni,Ranasinghe,Male,21,AB+,Kandy,742002808,61.0,14.8,154,Yes,Available
D0192,Sanduni,Peris,Female,58,A-,Gampaha,779172559,64.9,12.2,255,No,Available
D0193,Supun,Jayasinghe,Male,57,AB+,Kurunegala,757354167,56.8,14.6,0,No,Unavailable
D0194,Nadeesha,Peris,Female,22,B+,Gampaha,780606503,48.0,13.2,268,No,Unavailable
D0195,Malsha,De Silva,Male,58,O+,Negombo,761926331,81.8,12.7,22,No,Unavailable
D0196,Ruwan,Bandara,Male,60,AB-,Gampaha,794323222,65.3,15.7,176,Yes,Available
D0197,Amal,Peris,Female,59,B+,Colombo,733500064,50.9,12.4,180,No,Unavailable
D0198,Chathura,Gunasekara,Male,36,B+,Gampaha,737057085,83.5,15.2,234,Yes,Available
D0199,Nimal,Jayasinghe,Male,52,AB-,Galle,773538641,68.9,14.2,263,Yes,Unavailable
D0200,Tharushi,Perera,Male,59,AB+,Matara,754550177,82.4,14.2,24,No,Unavailable
